"kldb_tool_mit_anfniveau","isco_tool_mit_anfniveau","kldb_tool_vorlaufig","isco_tool_vorlaufig","kldb_infas_num","isco_infas_num","kldb_infas_str","isco_infas_str","res1_kldb","res2_kldb","res3_kldb","res1_isco","res2_isco","res3_isco","kldb_tool_1st","res1_kldb_1st","res2_kldb_1st","isco_tool_1st","res1_isco_1st","res2_isco_1st","item_id"
"92494","1349","92494","1349",92414,2642,"[92414] Redakteure, Journalisten - Experte","[2642] Journalisten","92414","92414",NA,"2642","2642",NA,9,9,9,1,2,2,67
"NA","NA","NA","NA",83194,1344,"[83194] Fuehrung-Erziehung,Sozialarbeit,Heilerz.","[1344] Führungskräfte in der Erbringung von Dienstleistungen der Sozialfürsorge","71394","71394",NA,"1213, 1219","1213",1344,NA,7,7,NA,1,1,68
"62302","5223","62302","5223",61123,3322,"[61123] Vertrieb (ausser IKT) - Spezialist","[3322] Vertriebsagenten","61123","61123",NA,"3322, 2433","3322",3322,6,6,6,5,3,3,69
"43224","2511","43224","2511",43223,2511,"[43223] IT-Anwendungsberatung - Spezialist","[2511] Systemanalytiker","43223","43223",NA,"2511","2511",NA,4,4,4,2,2,2,70
"84183","5312","84183","5312",84184,2359,"[84184] Lehrkraefte allg. Schule (ssT)-Experte","[2359] Lehrkräfte, anderweitig nicht genannt","84184","84184",NA,"2359","2359",NA,8,8,8,5,2,2,71
"26212","7411","26212","7411",26212,7411,"[26212] Bauelektrik - Fachkraft","[7411] Bauelektriker und verwandte Berufe","26212","26212",NA,"7411","7411",NA,2,2,2,7,7,7,72
"34102","5153","34102","5153",34102,5153,"[34102] Gebaeudetechnik (o.S.) - Fachkraft","[5153] Hauswarte","34102","34102",NA,"5153","5153",NA,3,3,3,5,5,5,73
"NA","NA","NA","NA",81484,2212,"[81484] Aerzte/Aerztinnen (s.s.T.) - Experte","[2212] Fachärzte","81484","81484",NA,"2212","2212",NA,NA,8,8,NA,2,2,74
"NA","NA","NA","NA",62122,5211,"[62122] Verkaufsstand-,Marktverkaeufer -Fachkraft","[5211] Verkaufsstand- und Marktverkäufer","61203","62122",62122,"5211","5211",NA,NA,6,6,NA,5,5,75
"71302","4322","71302","4322",71403,3343,"[71403] Buero-,Sekretariatskraefte(oS) -Spezialist","[3343] Sekretariatsfachkräfte in Verwaltung und Geschäftsleitung","71403","71403",NA,"3343","3343",NA,7,7,7,4,3,3,76
