"kldb_tool_mit_anfniveau","isco_tool_mit_anfniveau","kldb_tool_vorlaufig","isco_tool_vorlaufig","kldb_infas_num","isco_infas_num","kldb_infas_str","isco_infas_str","res1_kldb","res2_kldb","res3_kldb","res1_isco","res2_isco","res3_isco","kldb_tool_1st","res1_kldb_1st","res2_kldb_1st","isco_tool_1st","res1_isco_1st","res2_isco_1st","item_id"
"NA","NA","NA","NA",71302,4110,"[71302] Kaufm.,techn.Betriebswirt.(oS)-Fachkraft","[4110] Allgemeine Bürokräfte","71302","71302",NA,"4110","4110",NA,NA,7,7,NA,4,4,330
"NA","NA","NA","NA",71512,4416,"[71512] Personalentwick.,sachbearbeit.-Fachkraft","[4416] Bürokräfte im Personalwesen","71512","71512",NA,"4416","4416",NA,NA,7,7,NA,4,4,331
"84114","2341","84114","2341",84114,2341,"[84114] Lehrkraefte in der Primarstufe - Experte","[2341] Lehrkräfte im Primarbereich","84114","84114",NA,"2341","2341",NA,8,8,8,2,2,2,332
"NA","NA","NA","NA",84454,2353,"[84454] (Fremd-)Sprachenlehrer/innen - Experte","[2353] Sonstige Sprachlehrer","84213","84454",84454,"2353","2353",NA,NA,8,8,NA,2,2,333
"73203","3354","73202","3354",73204,2422,"[73204] Oeffentliche Verwaltung (o.S.) - Experte","[2422] Akademische und vergleichbare Fachkräfte in der strategischen Planung in Politik und Wirtschaft","73204","73204",NA,"2422","1112",2422,7,7,7,3,2,1,334
"34102","5153","34102","5153",34102,5153,"[34102] Gebaeudetechnik (o.S.) - Fachkraft","[5153] Hauswarte","34102","34102",NA,"5153","5153",NA,3,3,3,5,5,5,335
"NA","NA","NA","NA",61123,3322,"[61123] Vertrieb (ausser IKT) - Spezialist","[3322] Vertriebsagenten","61123","61123",NA,"3322","3322",NA,NA,6,6,NA,3,3,336
"24412","7214","24412","7214",24412,7214,"[24412] Metallbau - Fachkraft","[7214] Baumetallverformer und Metallbauer","24412","24412",NA,"7214, 7250","7214",7214,2,2,2,7,7,7,337
"94404","2654","94404","2654",94404,2654,"[94404] Theater-,Film-, Fernsehprod.(oS)-Experte","[2654] Regisseure und Produzenten im Film- und Bühnenbereich sowie in verwandten Bereichen","94404","94404",NA,"2654","2654",NA,9,9,9,2,2,2,338
"84214","2320","84214","2320",84214,2320,"[84214] Lehrkraefte berufsbildende Faecher-Experte","[2320] Lehrkräfte im Bereich Berufsbildung","84214","84214",NA,"2320","2320",NA,8,8,8,2,2,2,339
"73134","2611","73134","2611",73134,2611,"[73134] Rechtsanwaelte/-anwaeltinnen - Experte","[2611] Anwälte","73134","73134",NA,"2611","2611",NA,7,7,7,2,2,2,340
"NA","NA","NA","NA",26304,2152,"[26304] Elektrotechnik (o.S.) - Experte","[2152] Ingenieure im Bereich Elektronik","25104","25104",NA,"2144","2144, 2152",2152,NA,2,2,NA,2,2,341
"62102","5223","62102","5223",62102,5223,"[62102] Verkauf (ohne Produktspezial.)-Fachkraft","[5223] Verkäufer und Verkaufshilfskräfte in Handelsgeschäften","62102","62102",NA,"5223","5223",NA,6,6,6,5,5,5,342
"62322","5223","62322","5223",62322,5223,"[62322] Verkauf von Fleischwaren - Fachkraft","[5223] Verkäufer und Verkaufshilfskräfte in Handelsgeschäften","62102","62322",62322,"5223","5223",NA,6,6,6,5,5,5,343
"83132","3412","83131","5321",83112,2342,"[83112] Kinderbetreuung, -erziehung - Fachkraft","[2342] Lehrkräfte und Erzieher im Vorschulbereich","83112","83112",NA,"2342","2342",NA,8,8,8,3,2,2,344
"84304","2310","84304","2310",91324,2632,"[91324] Soziologie - Experte","[2632] Soziologen, Anthropologen und verwandte Wissenschaftler","91324","91324",NA,"2632","2632",NA,8,9,9,2,2,2,345
"71401","4223","71401","4223",71401,4223,"[71401] Buero-, Sekretariatskraefte(o.S.) - Helfer","[4223] Telefonisten","92122","71401, 92122",71401,"4223","4223",NA,7,9,7,4,4,4,346
"71513","4416","71513","4416",71513,4416,"[71513] Personalentwick.,sachbearbeit-Spezialist","[4416] Bürokräfte im Personalwesen","71513","71514",71513,"4416, 2424","4416",4416,7,7,7,4,4,4,347
"92114","2431","92113","2431",92114,2431,"[92114] Werbung und Marketing - Experte","[2431] Akademische und vergleichbare Fachkräfte in Werbung und Marketing","92114","92114",NA,"2431","2431",NA,9,9,9,2,2,2,348
"Code liegt für gewähltes AnfNiveau nicht vor / manuell prüfen","Code liegt für gewähltes AnfNiveau nicht vor / manuell prüfen","26252","7412",26304,2151,"[26304] Elektrotechnik (o.S.) - Experte","[2151] Ingenieure im Bereich Elektrotechnik","26304","26304",NA,"2151, 2152","2151",2151,NA,2,2,NA,2,2,349
"NA","NA","NA","NA",25132,7421,"[25132] Tech.Servicekr.Wartung,Instand-Fachkraft","[7421] Elektroniker und Elektronik-Servicetechniker","25132","61123, 25132",25132,"7420","7421",7421,NA,2,6,NA,7,7,350
"61124","2433","61123","3322",61124,2433,"[61124] Vertrieb (ausser IKT) - Experte","[2433] Akademische und vergleichbare Fachkräfte im Bereich Vertrieb (Technik und Medizin, ohne Informations- und Kommunikationstechnologie)","61124","61124",NA,"2433","2433",NA,6,6,6,2,2,2,351
"43423","2514","43423","2514",43423,2514,"[43423] Programmierung - Spezialist","[2514] Anwendungsprogrammierer","43423","43423",NA,"2514","2514",NA,4,4,4,2,2,2,352
"NA","NA","NA","NA",42204,2143,"[42204] Umweltschutztechnik (o.S.) - Experte","[2143] Umweltschutzingenieure","42204","42204",NA,"2143","2143",NA,NA,4,4,NA,2,2,353
"71401","4110","71401","4110",61122,4311,"[61122] Vertrieb (ausser IKT) - Fachkraft","[4311] Bürokräfte im Rechnungswesen und in der Buchhaltung","61122","61122",NA,"4311, 3322","3322",4110,7,6,6,4,4,3,354
"Code liegt für gewähltes AnfNiveau nicht vor / manuell prüfen","Code liegt für gewähltes AnfNiveau nicht vor / manuell prüfen","25104","2144",27103,3119,"[27103] Techn.Forschung,Entwickl.(oS)-Spezialist","[3119] Material- und ingenieurtechnische Fachkräfte, anderweitig nicht genannt","41312","27103, 41312",27103,"3119","3119",NA,NA,4,2,NA,3,3,355
"Code liegt für gewähltes AnfNiveau nicht vor / manuell prüfen","Code liegt für gewähltes AnfNiveau nicht vor / manuell prüfen","83133","3412",83133,3412,"[83133] Heilerziehungspfl.,Sonderpaed.-Spezialist","[3412] Nicht akademische sozialpflegerische Fachkräfte","84183","83132",83133,"2635, 3412","3412",3412,NA,8,8,NA,2,3,356
"81212","3212","81212","3212",81212,3212,"[81212] Med.-techn. Berufe Laborat. - Fachkraft","[3212] Medizintechniker im Bereich Labor und Pathologie","81212","81212",NA,"3212","3212",NA,8,8,8,3,3,3,357
"27394","1321","27394","1321",71104,1120,"[71104] Geschaeftsfuehrer und Vorstaende - Experte","[1120] Geschäftsführer und Vorstände","71104","71104",NA,"1120","1120",NA,2,7,7,1,1,1,358
"73134","2611","73134","2611",73194,1349,"[73194] Fuehrung-Rechtsberatung,sprechung,ordnung","[1349] Führungskräfte in der Erbringung von speziellen Dienstleistungen, anderweitig nicht genannt","73104","73194",73194,"1349","1349",NA,7,7,7,2,1,1,359
"25212","7231","25212","7231",25212,7231,"[25212] Kraftfahrzeugtechnik - Fachkraft","[7231] Kraftfahrzeugmechaniker und -schlosser","25212","25212",NA,"7231","7231",NA,2,2,2,7,7,7,360
"Code liegt für gewähltes AnfNiveau nicht vor / manuell prüfen","Code liegt für gewähltes AnfNiveau nicht vor / manuell prüfen","73202","3354",73202,3350,"[73202] Oeffentliche Verwaltung(o.S.) - Fachkraft","[3350] Fachkräfte in der öffentlichen Verwaltung","73202","73202",NA,"3350","3350",NA,NA,7,7,NA,3,3,361
"29312","5120","29312","5120",29301,9412,"[29301] Koeche/Koechinnen (o.S.) - Helfer","[9412] Küchenhilfen","29301","29301",NA,"9412","9412",NA,2,2,2,5,9,9,362
"NA","NA","NA","NA",73202,4110,"[73202] Oeffentliche Verwaltung(o.S.) - Fachkraft","[4110] Allgemeine Bürokräfte","73202","73202",NA,"3350","4110",4110,NA,7,7,NA,3,4,363
"28214","7532","28212","7532",28213,2163,"[28213] Modedesign - Spezialist","[2163] Produkt- und Textildesigner","28213","28213",NA,"2163","2163",NA,2,2,2,7,2,2,364
"24512","7222","24512","7222",24512,7311,"[24512] Feinwerktechnik - Fachkraft","[7311] Präzisionsinstrumentenmacher und -instandsetzer","25102","25102",NA,"7311","7311, 7422",7311,2,2,2,7,7,7,365
"83112","2342","83112","2342",83112,2342,"[83112] Kinderbetreuung, -erziehung - Fachkraft","[2342] Lehrkräfte und Erzieher im Vorschulbereich","83112","83112",NA,"2342","2342",NA,8,8,8,2,2,2,366
"83132","3412","83131","5321",83132,3412,"[83132] Heilerziehungspflege,Sonderpaed-Fachkraft","[3412] Nicht akademische sozialpflegerische Fachkräfte","83132","83132",NA,"3412","3412",NA,8,8,8,3,3,3,367
"Code liegt für gewähltes AnfNiveau nicht vor / manuell prüfen","Code liegt für gewähltes AnfNiveau nicht vor / manuell prüfen","71302","4110",73112,3342,"[73112] Assistenz Rechtsanwalt.,Notar.-Fachkraft","[3342] Sekretariatsfachkräfte im juristischen Bereich","73202","73112",73112,"3342, 3411","3342",3342,NA,7,7,NA,3,3,368
"71394","1120","71394","1120",82194,1343,"[82194] Fuehrung - Altenpflege","[1343] Führungskräfte in der Erbringung von Dienstleistungen der Altenbetreuung","82194","82194",NA,"1120, 1343","1343",1343,7,8,8,1,1,1,369
"71324","2421","71324","2421",71324,2421,"[71324] Unternehmensberatung - Experte","[2421] Akademische und vergleichbare Fachkräfte im Bereich Management- und Organisationsanalyse","71324","71324",NA,"2421, 3300","2421",2421,7,7,7,2,2,2,370
"84404","2320","84404","2320",84404,2300,"[84404] Erwachsenenbildung (o.S.) - Experte","[2300] Lehrkräfte","84304","84404",84404,"2320","2320",NA,8,8,8,2,2,2,371
"Code liegt für gewähltes AnfNiveau nicht vor / manuell prüfen","Code liegt für gewähltes AnfNiveau nicht vor / manuell prüfen","61123","3322",62272,5223,"[62272] Verkauf (KFZ, Zweirad,Zubehoer)-Fachkraft","[5223] Verkäufer und Verkaufshilfskräfte in Handelsgeschäften","62272","62272",NA,"5223, 5221","5223",5223,NA,6,6,NA,5,5,372
"NA","NA","NA","NA",92294,1222,"[92294] Fuehrung - Oeffentlichkeitsarbeit","[1222] Führungskräfte in Werbung und Öffentlichkeitsarbeit","92204","92294",92294,"2432","2432",NA,NA,9,9,NA,2,2,373
"83142","5322","83142","5322",83212,5152,"[83212] Hauswirtschaft - Fachkraft","[5152] Hauswirtschafter in Privathaushalten","83212","83212",NA,"5322","3221",5322,8,8,8,5,5,3,374
"NA","NA","NA","NA",33102,7122,"[33102] Bodenverlegung (o.S.) - Fachkraft","[7122] Boden- und Fliesenleger","33102","33102",NA,"7122","7122",NA,NA,3,3,NA,7,7,375
"84114","2341","84114","2341",84124,2300,"[84124] Lehrkraefte in d. Sekundarstufe - Experte","[2300] Lehrkräfte","84124","84124",NA,"2300, 2330","2300",2300,8,8,8,2,2,2,376
"81302","3221","81313","3221",81302,3221,"[81302] Gesundheits-,Krankenpflege(oS)-Fachkraft","[3221] Nicht akademische Krankenpflegefachkräfte","81302","81302",NA,"3221","3221",NA,8,8,8,3,3,3,377
"84124","2330","84124","2330",84124,2330,"[84124] Lehrkraefte in d. Sekundarstufe - Experte","[2330] Lehrkräfte im Sekundarbereich","84124","84124",NA,"2300, 2330","2330",2330,8,8,8,2,2,2,378
"NA","NA","NA","NA",83111,5311,"[83111] Kinderbetreuung, -erziehung - Helfer","[5311] Kinderbetreuer","83111","83111",NA,"5311","5311",NA,NA,8,8,NA,5,5,379
"NA","NA","NA","NA",27212,3118,"[27212] Technische Zeichner/innen - Fachkraft","[3118] Technische Zeichner","27212","27212",NA,"3118","3118",NA,NA,2,2,NA,3,3,380
"71403","3343","71403","3343",71402,4120,"[71402] Buero-,Sekretariatskraefte(o.S.)-Fachkraft","[4120] Sekretariatskräfte (allgemein)","71402","71402",NA,"4120","4120",NA,7,7,7,3,4,4,381
"NA","NA","NA","NA",71314,2421,"[71314] Unternehmensorganisation,planung-Experte","[2421] Akademische und vergleichbare Fachkräfte im Bereich Management- und Organisationsanalyse","71314","71314",NA,"2421","2421",NA,NA,7,7,NA,2,2,382
"27394","1321","27394","1321",27394,1321,"[27394] Fuehrung- Techn.Produktionsplan.,-steuer.","[1321] Führungskräfte in der Produktion bei der Herstellung von Waren","27394","27394",NA,"1321","1321",NA,2,2,2,1,1,1,383
"Code liegt für gewähltes AnfNiveau nicht vor / manuell prüfen","Code liegt für gewähltes AnfNiveau nicht vor / manuell prüfen","61123","3322",61112,4322,"[61112] Einkauf - Fachkraft","[4322] Bürokräfte in der Material- und Fertigungsplanung und verwandte Berufe","41482, 61112","61112",61112,"4322, 3323","4322",4322,NA,4,6,NA,4,4,384
"NA","NA","NA","NA",71401,4110,"[71401] Buero-, Sekretariatskraefte(o.S.) - Helfer","[4110] Allgemeine Bürokräfte","71401","71401",NA,"4110","4110",NA,NA,7,7,NA,4,4,385
"84404","2320","84404","2320",73184,2619,"[73184] Rechtsberat.,sprech.,ordn.(ssT)-Experte","[2619] Juristen, anderweitig nicht genannt","42314, -5","42324",73184,"2619","2619",NA,8,4,4,2,2,2,386
"52112","8322","52112","8322",52112,8322,"[52112] Berufskraftfahrer(Pers./PKW.)-Fachkraft","[8322] Personenkraftwagen-, Taxi-, Kleintransporter- und Kleinbusfahrer","52112","52112",NA,"8322","8322",NA,5,5,5,8,8,8,387
"83112","3412","83112","3412",83112,3412,"[83112] Kinderbetreuung, -erziehung - Fachkraft","[3412] Nicht akademische sozialpflegerische Fachkräfte","83112","83112",NA,"2342","3412",3412,8,8,8,3,2,3,388
"NA","NA","NA","NA",28222,7531,"[28222] Bekleidungsherstellung - Fachkraft","[7531] Herren- und Damenschneider, Kürschner und Hutmacher","28222","28222",NA,"7531","7531",NA,NA,2,2,NA,7,7,389
"53214","1349","53214","5412",53213,3355,"[53213] Polizeivollzugsdienst - Spezialist","[3355] Polizeikommissare und Kriminalbeamte","","",NA,"","",NA,5,NA,NA,1,NA,NA,390
"NA","NA","NA","NA",92114,2431,"[92114] Werbung und Marketing - Experte","[2431] Akademische und vergleichbare Fachkräfte in Werbung und Marketing","92113, 92114","92113, 92114",NA,"2431","2431",NA,NA,9,9,NA,2,2,391
"43194","1330","43194","1330",43384,2529,"[43384] IT-Netzw.,Koord.,Admin,Orga(ssT)-Experte","[2529] Akademische und vergleichbare Fachkräfte für Datenbanken und Netzwerke, anderweitig nicht genannt","43384","43384",NA,"2529","2500",2500,4,4,4,1,2,2,392
"24232","7223","24232","7223",25122,8100,"[25122] Maschinen-, Anlagenfuehrer - Fachkraft","[8100] Bediener stationärer Anlagen und Maschinen","25122","25122",NA,"8120","8120",NA,2,2,2,7,8,8,393
"71394","1120","71394","1120",84394,1120,"[84394] Fuehrung - Hochschullehre und -forschung","[1120] Geschäftsführer und Vorstände","84394","84394",NA,"1120, 1345","1120",1120,7,8,8,1,1,1,394
"NA","NA","NA","NA",27314,2141,"[27314] Technische Qualitaetssicherung - Experte","[2141] Wirtschafts- und Produktionsingenieure","27314","27314",NA,"2141","2141",NA,NA,2,2,NA,2,2,395
"81822","3213","81804","2262",81822,3213,"[81822] Pharmazeut.-techn. Assistenz - Fachkraft","[3213] Pharmazeutisch-technische Assistenten","81822","81822",NA,"3213","3213",NA,8,8,8,3,3,3,396
"71394","1213","71394","1213",27393,3122,"[27393] Aufsicht-Techn.Produktionsplan.,-steuer.","[3122] Produktionsleiter bei der Herstellung von Waren","71514","27393",27393,"3122, 1321","3120",3122,7,7,2,1,3,3,397
"Code liegt für gewähltes AnfNiveau nicht vor / manuell prüfen","Code liegt für gewähltes AnfNiveau nicht vor / manuell prüfen","73202","3354",73213,3353,"[73213] Sozialverwaltung,versicherung-Spezialist","[3353] Fachkräfte in Sozialverwaltung und -versicherung","73214","73282",73214,"3353","3353",NA,NA,7,7,NA,3,3,398
"71401","4415","71401","4415",71402,4110,"[71402] Buero-,Sekretariatskraefte(o.S.)-Fachkraft","[4110] Allgemeine Bürokräfte","71402","71402",NA,"4120","4110",4110,7,7,7,4,4,4,399
"Code liegt für gewähltes AnfNiveau nicht vor / manuell prüfen","Code liegt für gewähltes AnfNiveau nicht vor / manuell prüfen","73202","3354",73243,3351,"[73243] Zolldienst - Spezialist","[3351] Fachkräfte im Zolldienst und Grenzschutz","73242","73242",NA,"3351","3351",NA,NA,7,7,NA,3,3,400
"81393","2221","81393","2221",81393,2221,"[81393] Aufsicht-Krankenpfl.,Rettungsd.,Geburtsh","[2221] Akademische und vergleichbare Krankenpflegefachkräfte","81393","81393",NA,"2221","2221",NA,8,8,8,2,2,2,401
"NA","NA","NA","NA",84183,5312,"[84183] Lehrkraefte allg. Schule (ssT)-Spezialist","[5312] Lernbetreuer","83112","84183",84183,"5312, 2359","5312",5312,NA,8,8,NA,5,5,402
"62512","5223","62512","5223",62512,5223,"[62512] Buchhandel - Fachkraft","[5223] Verkäufer und Verkaufshilfskräfte in Handelsgeschäften","62512","62512",NA,"5223, 5221","5223",5223,6,6,6,5,5,5,403
"NA","NA","NA","NA",83194,1341,"[83194] Fuehrung-Erziehung,Sozialarbeit,Heilerz.","[1341] Führungskräfte in der Erbringung von Dienstleistungen der Kinderbetreuung","83193","83193, 83194",83194,"1344, 1341","1341",1341,NA,8,8,NA,1,1,404
"27393","3122","27393","3122",27394,1321,"[27394] Fuehrung- Techn.Produktionsplan.,-steuer.","[1321] Führungskräfte in der Produktion bei der Herstellung von Waren","27394","27394",NA,"1321, 3122","1321",1321,2,2,2,3,1,1,405
"43224","2511","43224","2511",43224,2511,"[43224] IT-Anwendungsberatung - Experte","[2511] Systemanalytiker","43224","43224",NA,"2511","2510",2510,4,4,4,2,2,2,406
"73203","3354","73202","3354",73282,3359,"[73282] Oeffentliche Verwaltung (ssT) - Fachkraft","[3359] Fachkräfte in der öffentlichen Verwaltung, anderweitig nicht genannt","73202","73202",NA,"3350","3359",3359,7,7,7,3,3,3,407
"Code liegt für gewähltes AnfNiveau nicht vor / manuell prüfen","Code liegt für gewähltes AnfNiveau nicht vor / manuell prüfen","81313","3221",81301,5321,"[81301] Gesundheits-, Krankenpflege (oS)-Helfer","[5321] Pflegehelfer","81301","81301",NA,"5321","5321",NA,NA,8,8,NA,5,5,408
"92194","1222","92194","1222",92194,1221,"[92194] Fuehrung - Werbung und Marketing","[1221] Führungskräfte in Vertrieb und Marketing","92194","92194",NA,"1221, 1222","1221",1221,9,9,9,1,1,1,409
"54101","9112","54101","9112",54101,9112,"[54101] Reinigung (o.S.) - Helfer","[9112] Reinigungspersonal und Hilfskräfte in Büros, Hotels und anderen Einrichtungen","54101","54101",NA,"9112","9112",NA,5,5,5,9,9,9,410
"NA","NA","NA","NA",84503,3422,"[84503] Sportlehrer/innen (o.S.) - Spezialist","[3422] Sportlehrer, Sporttrainer und Sportfunktionäre","84503","84503",NA,"3422","3422",NA,NA,8,8,NA,3,3,411
"NA","NA","NA","NA",25103,3115,"[25103] Maschinenbau,Betriebstech(oS)-Spezialist","[3115] Maschinenbautechniker","25103","25103",NA,"3115","3115",NA,NA,2,2,NA,3,3,412
"72113","3312","72113","3312",72113,3312,"[72113] Bankkaufleute - Spezialist","[3312] Kreditsachbearbeiter","72113","72113",NA,"3312","3312",NA,7,7,7,3,3,3,413
"32222","8342","32222","8342",32222,7119,"[32222] Strassen- und Asphaltbau - Fachkraft","[7119] Baukonstruktions- und verwandte Berufe, anderweitig nicht genannt","32222","32222",NA,"7119","7119",NA,3,3,3,8,7,7,414
"43224","3512","43224","3512",43224,2511,"[43224] IT-Anwendungsberatung - Experte","[2511] Systemanalytiker","43224","43224",NA,"2511","2510",2511,4,4,4,3,2,2,415
"61194","1221","61194","1221",61194,1221,"[61194] Fuehrung - Einkauf  und Vertrieb","[1221] Führungskräfte in Vertrieb und Marketing","61194","61194",NA,"1221","1221",NA,6,6,6,1,1,1,416
"Code liegt für gewähltes AnfNiveau nicht vor / manuell prüfen","Code liegt für gewähltes AnfNiveau nicht vor / manuell prüfen","73202","3354",73293,2142,"[73293] Aufsicht - Verwaltung","[2142] Bauingenieure","73202","73293",73293,"3314","3354",2142,NA,7,7,NA,3,3,417
"71402","4110","71402","4110",71402,3343,"[71402] Buero-,Sekretariatskraefte(o.S.)-Fachkraft","[3343] Sekretariatsfachkräfte in Verwaltung und Geschäftsleitung","71402","71402",NA,"3343, 4120","3343",3343,7,7,7,4,3,3,418
"71394","1213","71394","1213",92123,3341,"[92123] Dialogmarketing - Spezialist","[3341] Sekretariatsleiter","92123","92123",NA,"3341, 4222","3341",1221,7,9,9,1,3,3,419
"NA","NA","NA","NA",43414,2512,"[43414] Softwareentwicklung - Experte","[2512] Softwareentwickler","43414","43414",NA,"2512","2512",NA,NA,4,4,NA,2,2,420
"71403","3343","71403","3343",71402,4110,"[71402] Buero-,Sekretariatskraefte(o.S.)-Fachkraft","[4110] Allgemeine Bürokräfte","71402","71402",NA,"4110","4110",NA,7,7,7,3,4,4,421
"43294","1330","43294","1330",43214,2511,"[43214] IT-Systemanalyse - Experte","[2511] Systemanalytiker","43214","43214",NA,"2511, 3513","2511",2511,4,4,4,1,2,2,422
"63404","3332","63404","3332",63404,3332,"[63404] Veranstaltungsservice,-manag. - Experte","[3332] Konferenz- und Veranstaltungsplaner","63404","63404",NA,"2654, 3332","3332",3332,6,6,6,3,2,3,423
"NA","NA","NA","NA",43103,2510,"[43103] Informatik (o.S.) - Spezialist","[2510] Entwickler und Analytiker von Software und Anwendungen","43333","43103, 43333",43103,"2510","2510",NA,NA,4,4,NA,2,2,424
"84114","2341","84114","2341",84114,2341,"[84114] Lehrkraefte in der Primarstufe - Experte","[2341] Lehrkräfte im Primarbereich","84114","84114",NA,"2341","2341",NA,8,8,8,2,2,2,425
"NA","NA","NA","NA",71401,4110,"[71401] Buero-, Sekretariatskraefte(o.S.) - Helfer","[4110] Allgemeine Bürokräfte","71403","71403",NA,"3343","4110",4110,NA,7,7,NA,3,4,426
"52182","8322","52182","8322",52182,8322,"[52182] FahrzeugfuehrerStrassenverk(ssT)-Fachkraft","[8322] Personenkraftwagen-, Taxi-, Kleintransporter- und Kleinbusfahrer","52122","52122",NA,"8322","8300",8322,5,5,5,8,8,8,427
"63302","5131","63302","5131",63302,5131,"[63302] Gastronomieservice (o.S.) - Fachkraft","[5131] Kellner","63302","63302",NA,"5131","5131",NA,6,6,6,5,5,5,428
"92204","2432","92204","2432",92204,2432,"[92204] Oeffentlichkeitsarbeit - Experte","[2432] Akademische und vergleichbare Fachkräfte in der Öffentlichkeitsarbeit","92204","92204",NA,"2432","2432",NA,9,9,9,2,2,2,429
"51321","9621","51321","9621",51321,9621,"[51321] Post- und Zustelldienste - Helfer","[9621] Boten, Paketauslieferer und Gepäckträger","51321","51321",NA,"9621","9621",NA,5,5,5,9,9,9,430
"NA","NA","NA","NA",72213,4311,"[72213] Buchhaltung - Spezialist","[4311] Bürokräfte im Rechnungswesen und in der Buchhaltung","72213","72213",NA,"4311, 3313","4311",4311,NA,7,7,NA,4,4,431
"NA","NA","NA","NA",1402,410,"[1402] Angeh. regulaere Streitkraefte sonst.Raenge","[410] Soldat/Berufssoldat o.n.A. (-> ISCO 08)","1402","1402",NA,"410","410",NA,NA,1,1,NA,4,4,432
"71302","4110","71302","4110",72243,3313,"[72243] Wirtschaftspruefung - Spezialist","[3313] Nicht akademische Fachkräfte im Rechnungswesen","72243","72243",NA,"2411","4311",2421,7,7,7,4,2,4,433
"NA","NA","NA","NA",12144,2162,"[12144] Garten-Landschafts,Sportplatzbau-Experte","[2162] Landschaftsarchitekten","","",NA,"","",NA,NA,NA,NA,NA,NA,NA,434
"Code liegt für gewähltes AnfNiveau nicht vor / manuell prüfen","Code liegt für gewähltes AnfNiveau nicht vor / manuell prüfen","71302","4110",27314,2141,"[27314] Technische Qualitaetssicherung - Experte","[2141] Wirtschafts- und Produktionsingenieure","27314","27313",27314,"2141","2100",2100,NA,2,2,NA,2,2,435
"51633","4323","51633","4323",51224,2142,"[51224] Wart. Eisenbahninfrastruktur - Experte","[2142] Bauingenieure","51224","51224",NA,"2164, 2142","2149",2149,5,5,5,4,2,2,436
"83112","3412","83112","3412",83112,2342,"[83112] Kinderbetreuung, -erziehung - Fachkraft","[2342] Lehrkräfte und Erzieher im Vorschulbereich","83112","83112",NA,"2342","2342, 2635",2342,8,8,8,3,2,2,437
"NA","NA","NA","NA",11501,9212,"[11501] Tierpflege (o.S.) - Helfer","[9212] Hilfsarbeiter in der Tierhaltung","11501","11501",NA,"9212","9212",NA,NA,1,1,NA,9,9,438
"Code liegt für gewähltes AnfNiveau nicht vor / manuell prüfen","Code liegt für gewähltes AnfNiveau nicht vor / manuell prüfen","71302","4110",26393,1321,"[26393] Aufsicht - Elektrotechnik","[1321] Führungskräfte in der Produktion bei der Herstellung von Waren","26393","26393",NA,"1321","1330",1330,NA,2,2,NA,1,1,439
"NA","NA","NA","NA",-5,4,"[-5] Nicht codierbar","[4] nicht codierbar","-5","83123, -5",-5,"4","4",NA,NA,NA,8,NA,4,4,440
"NA","NA","NA","NA",71104,1120,"[71104] Geschaeftsfuehrer und Vorstaende - Experte","[1120] Geschäftsführer und Vorstände","71104","71104",NA,"1120","1120",NA,NA,7,7,NA,1,1,441
"25104","2144","25104","2144",27304,2141,"[27304] Tech.Produktionspl.,-steuerung-Experte","[2141] Wirtschafts- und Produktionsingenieure","27304","27304",NA,"2141","2141",NA,2,2,2,2,2,2,442
"27394","1321","27394","1321",27394,1321,"[27394] Fuehrung- Techn.Produktionsplan.,-steuer.","[1321] Führungskräfte in der Produktion bei der Herstellung von Waren","27394","27394",NA,"1321","1321",NA,2,2,2,1,1,1,443
"Code liegt für gewähltes AnfNiveau nicht vor / manuell prüfen","Code liegt für gewähltes AnfNiveau nicht vor / manuell prüfen","83154","2635",83123,2635,"[83123] Sozialarbeit, Sozialpaedagogik-Spezialist","[2635] Sozialarbeiter","83124","83123",83123,"3412, 2635","2635",2635,NA,8,8,NA,3,2,444
"NA","NA","NA","NA",61203,3320,"[61203] Kaufleute im Handel (o.S.) - Spezialist","[3320] Vertriebsagenten, Einkäufer und Handelsmakler","61204","61203",61203,"3320","3320",NA,NA,6,6,NA,3,3,445
"25194","1321","25194","1321",25103,3115,"[25103] Maschinenbau,Betriebstech(oS)-Spezialist","[3115] Maschinenbautechniker","25103","25103",NA,"3115","3115",NA,2,2,2,1,3,3,446
"81102","3256","81102","3256",81102,3256,"[81102] Medizin. Fachangestellte (oS)-Fachkraft","[3256] Medizinische Assistenten","81102","81102",NA,"3256","3256",NA,8,8,8,3,3,3,447
"NA","NA","NA","NA",34293,7126,"[34293] Aufsicht-Klemp.Sanitaer,Heizung,Klimatech","[7126] Bauspengler und Sanitär- und Heizungsinstallateure","34102","34102",NA,"5153","5153",NA,NA,3,3,NA,5,5,448
"61194","1324","61194","1324",61194,1324,"[61194] Fuehrung - Einkauf  und Vertrieb","[1324] Führungskräfte in der Beschaffung, Logistik und in verwandten Bereichen","61194","61194",NA,"1221, 1324","1324",1324,6,6,6,1,1,1,449
"73202","3354","73202","3354",72212,4311,"[72212] Buchhaltung - Fachkraft","[4311] Bürokräfte im Rechnungswesen und in der Buchhaltung","71402","71402",NA,"4311","4311",NA,7,7,7,3,4,4,450
"NA","NA","NA","NA",92414,2642,"[92414] Redakteure, Journalisten - Experte","[2642] Journalisten","92414","92414",NA,"2642","2642",NA,NA,9,9,NA,2,2,451
"NA","NA","NA","NA",43214,2511,"[43214] IT-Systemanalyse - Experte","[2511] Systemanalytiker","43214","43214",NA,"2511, 3513","2523",2523,NA,4,4,NA,2,2,452
